Author;Publication count;PageRank;Authority score
Z. Meral Özsoyoglu;1;0.0080286244741981;1.339115030809727e-74
Thomas Eiter;1;0.010416666666666666;1.814839282014874e-94
Inderpal Singh Mumick;1;0.010860802579738474;2.3136671710176732e-29
Victor Matos;1;0.010416666666666666;1.814839282014874e-94
Mihalis Yannakakis;1;0;0
John T. Robinson;1;0;0
Sanjeev Khanna;1;0.010416666666666666;1.9761849806883772e-54
Arvind Arasu;1;0.010416666666666668;2.1518748886472002e-14
Donald S. Fussell;1;0.007656759695543625;2.0351827932809374e-26
Georg Lausen;1;0.010416666666666666;1.814839282014874e-94
Alexander Borgida;1;0;0
