Author;Publication count;PageRank;Authority score
Vashudha Krishnaswamy;1;0;0
Sriram Raghavan;2;0;0
Vladimir Lanin;1;0;0
Anand Srinivasan;1;0;0
Kunio Murakami;1;0;0
Francis Y. L. Chin;1;0;0
Y. C. Tay;5;0;0
Won Kim;1;0;0
Raymond Reiter;1;0;0
Thomas W. Page Jr.;1;0;0
David Scot Taylor;2;0;0
Haodong Hu;2;0;0
Yelena Yesha;1;0;0
Thomas Perst;1;0;0
John R. Smith;1;0;0
Siddharth Barman;1;0;0
Martín Ugarte;1;0;0
Jacob Stein;1;0;0
Sumit Ganguly;6;0;0
Mehmet M. Dalkilic;1;0;0
Andrea Calì;2;0;0
Michael J. Franklin;1;0;0
Sukhamay Kundu;1;0;0
Krzysztof Onak;1;0;0
Kamalika Chaudhuri;1;0;0
William E. Weihl;4;0;0
M. Kramer;1;0;0
Ali Vakilian;1;0;0
Sanjay Manchanda;1;0;0
Teodor C. Przymusinski;2;0;0
Rosalba Giugno;1;0;0
S. N. Maheshwari;1;0;0
Anca Muscholl;2;0;0
J. Ian Munro;2;0;0
Bo Pang;1;0;0
Jens-Peter Dittrich;1;0;0
Markus Krötzsch;1;0;0
Abraham Silberschatz;12;0;0
Paris C. Kanellakis;12;0;0
Dung T. Nguyen;1;0;0
Ashish Goel;1;0;0
Thomas M. Kroeger;1;0;0
Richard Jeffers;1;0;0
Richard T. Snodgrass;1;0;0
Elarbi Choukhmane;1;0;0
Yuli Ye;1;0;0
Judith Klavans;1;0;0
Marcus Fontoura;2;0;0
Vinay K. Chaudhri;2;0;0
Hoa T. Vu;1;0;0
Walker M. White;2;0;0
Yuri Gurevich;2;0;0
Omar Benjelloun;2;0;0
Lisa Hellerstein;1;0;0
Zhenming Liu;1;0;0
Stephan Kreutzer;1;0;0
Noga Alon;3;0;0
Hamid Pirahesh;2;0;0
Fabio Vandin;1;0;0
Pan Xu;1;0;0
Miron Livny;2;0;0
Khaled A. S. Abdel-Ghaffar;1;0;0
Ding-An Chiang;1;0;0
Laks V. S. Lakshmanan;2;0;0
Sharad Mehrotra;2;0;0
Abhay Kumar Jha;1;0;0
Vanja Josifovski;2;0;0
Solmaz Kolahi;1;0;0
Bruno Marnette;1;0;0
Guy Pardon;1;0;0
Ti-Pin Chang;1;0;0
Mark Sandler;1;0;0
Pranjal Awasthi;1;0;0
Michael A. Taitslin;2;0;0
Udi Manber;2;0;0
Andrew Tomkins;4;0;0
Luc Vandeurzen;2;0;0
Hoda Mokhtar;1;0;0
Bart Samwel;1;0;0
David Gross-Amblard;1;0;0
Paulo A. S. Veloso;1;0;0
Nisheeth Shrivastava;1;0;0
Mayur Datar;2;0;0
Stephen Fox;1;0;0
Pratul Dublish;1;0;0
Evgeny Dantsin;1;0;0
L. Schnetgöke;1;0;0
Vassilis J. Tsotras;3;0;0
Martin Strauss;2;0;0
F. Manfredi;1;0;0
Paolo Atzeni;6;0;0
Timothy Griffin;1;0;0
Dirk Leinders;1;0;0
Vittorio Castelli;1;0;0
Cristian Riveros;2;0;0
Amir M. Zarkesh;1;0;0
Jimmy P. Strickland;1;0;0
Sharon McCure Kuck;1;0;0
Daniel J. Rosenkrantz;2;0;0
Shamim A. Naqvi;4;0;0
Prasang Upadhyaya;1;0;0
Sourav Chatterji;1;0;0
Marina Moscarini;4;0;0
Jeffrey D. Ullman;16;0;0
Rolfe R. Schmidt;1;0;0
Stefan Mengel;1;0;0
Steven P. Reiss;1;0;0
Scott Weinstein;2;0;0
Guozhu Dong;4;0;0
Sven Hartmann;2;0;0
Kirack Sohn;2;0;0
Minos N. Garofalakis;4;0;0
Lap-Kei Lee;1;0;0
Harry G. Mairson;1;0;0
Leonid Libkin;32;0;0
Michael I. Jordan;1;0;0
Rina Dechter;1;0;0
Sebastian Maneth;3;0;0
Peter Z. Revesz;3;0;0
Alexander Serebrenik;1;0;0
Barbara Catania;1;0;0
Michael Merritt;1;0;0
Cynthia A. Phillips;1;0;0
Adrian Onet;1;0;0
Patrick Lincoln;1;0;0
Sheau-Dong Lang;1;0;0
David S. Johnson;1;0;0
Sophie Tison;1;0;0
Martin J. Strauss;1;0;0
David Scott Warren;2;0;0
Baldeo K. Taneja;1;0;0
Héctor J. Hernández;3;0;0
Tiko Kameda;2;0;0
Jan Paredaens;9;0;0
Ravi Kannan;1;0;0
Stavros S. Cosmadakis;8;0;0
Thomas Schwentick;11;0;0
Edo Liberty;1;0;0
David Felber;1;0;0
Alban Galland;1;0;0
Srinivas R. Kashyap;1;0;0
Tore Dalenius;1;0;0
Kobbi Nissim;4;0;0
Shivakumar Vaithyanathan;2;0;0
Lin Yu;2;0;0
Jyrki Kivinen;1;0;0
Santosh Vempala;2;0;0
Haiyan Ye;1;0;0
Michael Kapralov;1;0;0
David G. Kirkpatrick;1;0;0
Zoë Abrams;1;0;0
Krzysztof Choromanski;1;0;0
Swaminathan Sankararaman;1;0;0
Jason Tsong-Li Wang;1;0;0
Marc Andries;1;0;0
Adam Meyerson;1;0;0
Sreenivas Gollapudi;3;0;0
Jia-Huai You;1;0;0
Mikhail J. Atallah;2;0;0
Roni Khardon;1;0;0
Izchak Sharfman;1;0;0
Arvola Chan;1;0;0
Othmane Rezine;1;0;0
Banu Özden;2;0;0
Aravind Ramachandran;1;0;0
Babak Bagheri Hariri;1;0;0
Jonathan Ullman;2;0;0
Gomer Thomas;1;0;0
Sanjay Krishnamurthi;1;0;0
Paraschos Koutris;5;0;0
Andreas Reuter 0001;1;0;0
Larry Raab;1;0;0
Chee-Keng Yap;1;0;0
Sergio Flesca;1;0;0
Pavel Avgustinov;1;0;0
Hossein Jowhari;1;0;0
Madhukar N. Thakur;1;0;0
Brian Babcock;3;0;0
Jeffrey B. Remmel;1;0;0
Charles Elkan;2;0;0
Kien A. Hua;1;0;0
Joachim Biskup;1;0;0
Nandit Soparkar;1;0;0
Benny Kimelfeld;15;0;0
Luiz Tucherman;1;0;0
Nicole Bidoit;2;0;0
Karl Denninghoff;1;0;0
Kostoula Papakonstantinou;1;0;0
Samuel McCauley;1;0;0
Ting Deng;2;0;0
H. V. Jagadish;5;0;0
Anirban Majumder;1;0;0
Luc Boasson;1;0;0
Stephen J. Hegner;4;0;0
Giuseppe De Giacomo;9;0;0
Witold Lipski Jr.;3;0;0
Christopher Ré;6;0;0
Shun'ichi Amano;1;0;0
Christophe Rigotti;1;0;0
Vahab S. Mirrokni;1;0;0
Charu C. Aggarwal;4;0;0
Michael Greenwald;1;0;0
Peter T. Wood;2;0;0
Elizabeth A. M. Shriver;1;0;0
Ely Porat;1;0;0
Anuj Dawar;1;0;0
Karl Schnaitter;2;0;0
Philippe Richard;1;0;0
Anna C. Gilbert;1;0;0
Sara Shurin;1;0;0
André Hernich;3;0;0
Peter Buneman;7;0;0
Divesh Srivastava;10;0;0
Amélie Gheerbrant;1;0;0
Kumar V. Vadaparty;2;0;0
Hirohisa Seki;1;0;0
Marianne Winslett;2;0;0
Jin-yi Cai;1;0;0
Susan B. Davidson;4;0;0
Ariel Fuxman;1;0;0
Dimitris Papadias;1;0;0
Victor Vianu;28;0;0
Matthias Niewerth;3;0;0
Alfred V. Aho;1;0;0
Yap-Peng Tan;1;0;0
Alfred Z. Spector;1;0;0
Rada Chirkova;3;0;0
Phillip B. Gibbons;1;0;0
Walter A. Burkhard;2;0;0
Siu-Wing Cheng;1;0;0
Patricia G. Selinger;1;0;0
Vânia Maria Ponte Vidal;1;0;0
Thomas Lukasiewicz;2;0;0
Ali Moallemi;1;0;0
Jayadev Acharya;1;0;0
Val Tannen;7;0;0
Gereon Frahling;1;0;0
Kim S. Larsen;1;0;0
Wojciech Kazana;1;0;0
Mukund Sundararajan;1;0;0
Alessandro Tiberi;1;0;0
Ryan Williams;3;0;0
Shashi K. Gadia;2;0;0
Slawek Staworko;1;0;0
Daniel P. Miranker;1;0;0
Heikki Mannila;6;0;0
Sridhar Ramaswamy;2;0;0
Waqar Hasan;1;0;0
Joost Engelfriet;1;0;0
Azza Abouzied;1;0;0
Rob Johnson;1;0;0
Aris M. Ouksel;2;0;0
Moritz Müller;1;0;0
Latha S. Colby;1;0;0
Damien Sereni;1;0;0
Fang Wei 0001;3;0;0
Gabriel M. Kuper;8;0;0
Eugene Pinsky;1;0;0
Cristian Bucila;1;0;0
Irit Dinur;1;0;0
Thomas Eiter;3;0;0
Mohamed Faouzi Atig;1;0;0
Robert Fink;1;0;0
David W. Stemple;2;0;0
Sheldon J. Finkelstein;1;0;0
Yaron Kanza;3;0;0
Man Hon Wong;4;0;0
Frank Neven;17;0;0
James P. Delgrande;1;0;0
Atish Das Sarma;1;0;0
Bassem Sayrafi;1;0;0
John Hershberger;2;0;0
Stavros Christodoulakis;1;0;0
Ilya P. Razenshteyn;1;0;0
Clemens Kupke;1;0;0
Liying Sui;2;0;0
Bart Kuijpers;1;0;0
