Author;Publication count;PageRank;Authority score
Jean-Marc Pugin;1;0;0
Neoklis Polyzotis;1;0;0
Jan Chomicki;7;0;0
Philip A. Bernstein;1;0;0
Srujana Merugu;1;0;0
Christian Sohler;1;0;0
Ibrahim Kamel;1;0;0
Jean-Marc Stévenne;1;0;0
Dan Suciu;25;0;0
Marc H. Graham;6;0;0
Alexandre V. Evfimievski;2;0;0
Tomasz Imielinski;7;0;0
Jérôme Siméon;1;0;0
Oscar H. Ibarra;2;0;0
Anil Nigam;1;0;0
Froduald Kabanza;1;0;0
Ching-Tien Ho;1;0;0
Zvi M. Kedem;1;0;0
Daniela Florescu;1;0;0
Maarten Marx;2;0;0
Yung-Chun (Justin) Wan;1;0;0
Takeshi Fukuda;1;0;0
Alessio Orlandi;1;0;0
Ramakrishnan Srikant;1;0;0
Werner Nutt;4;0;0
Serge Abiteboul;28;0;0
Gregory Karvounarakis;1;0;0
Haruo Yokota;1;0;0
Gultekin Özsoyoglu;2;0;0
Jafar Adibi;1;0;0
Katja Losemann;1;0;0
Giansalvatore Mecca;2;0;0
Dayou Zhou;1;0;0
An Zhu;1;0;0
John B. Kam;1;0;0
Theodore Johnson;2;0;0
Vivek R. Narasayya;1;0;0
Riccardo Rosati;4;0;0
Bozidar Radunovic;1;0;0
Haiquan Li;1;0;0
Mirek Riedewald;1;0;0
Simona Rabinovici-Cohen;1;0;0
Ning Wu;1;0;0
Susumu Kunifuji;1;0;0
Ludwig Schmidt;1;0;0
Divyakant Agrawal;7;0;0
Giovambattista Ianni;1;0;0
Michael T. Goodrich;1;0;0
Marcin Przybylko;1;0;0
Wen K. Lee;1;0;0
Rajan Suri;2;0;0
Edward D. Lazowska;1;0;0
Raghav Kaushik;2;0;0
Jasmine Novak;1;0;0
Daniel Zinn;1;0;0
Bennet Vance;1;0;0
Klaus U. Schulz;1;0;0
Marco Calautti;1;0;0
Wen-Chi Hou;1;0;0
Gottfried Vossen;5;0;0
Zhewei Wei;3;0;0
Don S. Batory;2;0;0
A. Mecchia;1;0;0
Allen Van Gelder;7;0;0
Chandra Chekuri;1;0;0
Sheng Zhong;1;0;0
Stephen R. Chestnut;1;0;0
S. Sudarshan 0001;3;0;0
François Bry;1;0;0
Iyer N. Subramanian;1;0;0
Michael Rabinovich;1;0;0
Ashish Kumar Gupta;1;0;0
Makoto Murata;1;0;0
Alon Y. Levy;9;0;0
Sathiya Keerthi;1;0;0
Yunyao Li;2;0;0
Wouter Gelade;2;0;0
Mathieu Verbaere;1;0;0
Pavel Zezula;1;0;0
Jay H. Vaishnav;1;0;0
Sebastian Link;2;0;0
Jaideep Srivastava;1;0;0
Paula Ta-Shma;1;0;0
Alberto O. Mendelzon;14;0;0
Hanan Samet;1;0;0
Håkan Jakobsson;2;0;0
Amit Kumar 0001;3;0;0
Setrag Khoshafian;1;0;0
Aris Anagnostopoulos;1;0;0
John S. Schlipf;2;0;0
Jinyan Li;1;0;0
Chinmay Hegde;1;0;0
Mario Winter;1;0;0
Todd D. Millstein;1;0;0
Gösta Grahne;7;0;0
Atri Rudra;4;0;0
Manas R. Joglekar;1;0;0
Jayant R. Haritsa;1;0;0
John T. Robinson;2;0;0
Erich Grädel;1;0;0
Wolfgang Scheufele;1;0;0
Artur Bykowski;1;0;0
Rajeev Rastogi;6;0;0
Qi Zhao;1;0;0
Stijn Vansummeren;6;0;0
P. Mukhopadhyay;1;0;0
Peter Scheuermann;1;0;0
Andreas Pieris;4;0;0
Bas Ketsman;2;0;0
Swastik Kopparty;1;0;0
Jeremy T. Fineman;1;0;0
Prabhakar Raghavan;4;0;0
Dimitris Achlioptas;1;0;0
Mikolaj Bojanczyk;5;0;0
Mauro Sozio;2;0;0
Timos K. Sellis;1;0;0
Yakov Nekrich;3;0;0
Anthony J. Bonner;4;0;0
Gerhard Weikum;6;0;0
Chandra M. R. Kintala;1;0;0
Venkatesh Ganti;1;0;0
Fenia Zioga;1;0;0
Csaba D. Tóth;1;0;0
Paul Beame;3;0;0
Keishi Tajima;1;0;0
Frederick Reiss;2;0;0
M. Muralikrishna;1;0;0
Olga Kapitskaia;1;0;0
Hung Q. Ngo 0001;5;0;0
Ashwin Machanavajjhala;2;0;0
Takeshi Tokuyama;1;0;0
Gabriel Matsliach;1;0;0
Yong Guan;1;0;0
Assaf Schuster;1;0;0
Michael C. Martin;1;0;0
Gurmeet Singh Manku;1;0;0
Joseph Albert;1;0;0
Aaron Watters;1;0;0
Armin Fessler;2;0;0
Krishnaram Kenthapadi;2;0;0
Pierre Wolper;2;0;0
Nicola Leone;4;0;0
Kenneth A. Ross;9;0;0
Arthur M. Keller;1;0;0
Sachin More;1;0;0
Heiko Schuldt;2;0;0
Justin Thaler;1;0;0
Geppino Pucci;1;0;0
Antonio L. Furtado;1;0;0
Freddy Dumortier;1;0;0
Vinayaka Pandit;1;0;0
Utkarsh Srivastava;3;0;0
Catriel Beeri;13;0;0
Donald S. Fussell;1;0;0
Sandeep Gupta;1;0;0
Gerald J. Popek;1;0;0
Shari Roseman;1;0;0
Ravi Krishnamurthy;4;0;0
Morten Stöckel;1;0;0
Darren Erik Vengroff;1;0;0
Wolfgang May;1;0;0
Gerome Miklau;3;0;0
Meghyn Bienvenu;2;0;0
Alexei P. Stolboushkin;2;0;0
Shalom Tsur;3;0;0
Gustavo Alonso;4;0;0
Jian Li;1;0;0
Nina Mishra;2;0;0
Gaston H. Gonnet;3;0;0
Domagoj Vrgoc;1;0;0
Philip Bohannon;1;0;0
Sebastian Skritek;3;0;0
Lawrence V. Saxton;1;0;0
David DeHaan;1;0;0
Michael R. Genesereth;2;0;0
Kim Marriott;1;0;0
Paolo Ferragina;2;0;0
Nathan Goodman;9;0;0
Samir Khuller;2;0;0
Stephanie Tien Lee;1;0;0
Dzintars Avots;1;0;0
Christian Böhm;1;0;0
Tatuo Nakanishi;1;0;0
Dimitrios Gunopulos;4;0;0
Meichun Hsu;3;0;0
Hans-Werner Six;3;0;0
Satyen Kale;1;0;0
Elisa Bertino;1;0;0
Rong Sun;1;0;0
Reza Sadri;1;0;0
Zhiyuan Chen;1;0;0
Milan Vojnovic;1;0;0
Michael Meier 0002;1;0;0
Pablo Barceló Baeza;2;0;0
Jeffrey Scott Vitter;8;0;0
Ray Ford;1;0;0
Xiaocheng Hu;3;0;0
Mitsunori Ogihara;1;0;0
Frank M. Pittelli;1;0;0
Tova Milo;22;0;0
Monika Rauch Henzinger;1;0;0
Alin Dobra;1;0;0
Diego Figueira;3;0;0
James Cheney;1;0;0
Jan Van den Bussche;17;0;0
Renée J. Miller;1;0;0
Dilys Thomas;1;0;0
Juan L. Reutter;5;0;0
Weidong Chen;2;0;0
Egor V. Kostylev;1;0;0
Arnab Bhattacharyya;1;0;0
Nick Koudas;4;0;0
Anand Ranganathan;1;0;0
Z. Meral Özsoyoglu;4;0;0
Donald B. Johnson;1;0;0
Mark J. Post;1;0;0
Konstantinos Tsakalidis;1;0;0
Moses Charikar;1;0;0
Jehoshua Bruck;1;0;0
Derick Wood;2;0;0
Anant Jhingran;1;0;0
Benjamin C. Pierce;2;0;0
Eli Upfal;3;0;0
Dan Olteanu;1;0;0
Marc Gyssens;8;0;0
